ATC;Kód;GP;Názov;Doplnok;Konečná c.;ŠDL;JD
C01EA01;44168;;ALPROSTAPINT 20 µg/ ml;con inf 5x1 ml/20 µg;66,54;20;µg
V01AA;69204;;Alutard SQ;sus inj 1x5 ml (liek.inj.skl.);152,97;1;DF
V01AA;69197;;Alutard SQ;sus inj 4x5 ml (liek.inj.skl.);161,8;1;DF
N06AX16;38641;X;Alventa 150 mg;cps pld 30x150 mg (blis.Al/PVC/PVDC);4,71;0,1;g
N06AX16;38643;X;Alventa 150 mg;cps pld 60x150 mg (blis.Al/PVC/PVDC);9,19;0,1;g
N06AX16;38616;X;Alventa 37,5 mg;cps pld 28x37,5 mg (blis.Al/PVC/PVDC);3,28;0,1;g
N06AX16;38629;X;Alventa 75 mg;cps pld 30x75 mg (blis.Al/PVC/PVDC);2,75;0,1;g
N06AX16;38631;X;Alventa 75 mg;cps pld 60x75 mg (blis.Al/PVC/PVDC);5,38;0,1;g
R03BA08;42227;;Alvesco 160 Inhalátor;sol inh 120x160 µg (obal Al tlak.);36,35;160;mcg
L01FG01;7304D;;Alymsys 25 mg/ml koncentrát na infúzny roztok;con inf 1x16 ml/400 mg (liek.inj.skl.);609,4;5;mg/kg
L01FG01;7303D;;Alymsys 25 mg/ml koncentrát na infúzny roztok;con inf 1x4 ml/100 mg (liek.inj.skl.);152,35;5;mg/kg
V01AA20;53626;;ALYOSTAL PRICK;sol inj 1x3 ml (100 IR/ml, 100 IC/ml, 1000 IC/ml) (liek.skl.);15,98;1;DF
C01BC04;2064D;;Amarhyton 100 mg tvrdé kapsuly s predĺženým uvoľňovaním;cps pld 30x100 mg (blis.PVC/PVDC/Al);9,8;100;mg
C01BC04;2062D;;Amarhyton 50 mg tvrdé kapsuly s predĺženým uvoľňovaním;cps pld 30x50 mg (blis.PVC/PVDC/Al);6,26;100;mg
C02KX02;5724D;X;Ambrisentan AOP 5 mg filmom obalené tablety;tbl flm 30x1x5 mg (blis.PVC/PVDC/Al-jednotliv.dáv.);715,58;5;mg
C02KX02;6132D;X;Ambrisentan Zentiva 5 mg filmom obalené tablety;tbl flm 30x1x5 mg (blis.PVC/PVDC/Al-jednotliv.dáv.);715,58;5;mg
L04AB04;3581C;;AMGEVITA 40 mg injekčný roztok naplnený v injekčnej striekačke;sol inj 2x0,8 ml/40 mg (striek.inj.skl.napl.);429,23;2,85;mg
L04AB04;3585C;;AMGEVITA 40 mg injekčný roztok naplnený v injekčnom pere;sol inj 2x0,8 ml/40 mg (pero inj.skl.napl.-SureClick);428,38;2,85;mg
C03EA06;88518;;AMICLOTON;tbl 30x2,5 mg/25 mg (blis.PVC/Al);1,99;1;DF
C01BD01;14511;X;Amiokordin 200 mg;tbl 60x200 mg (blis.Al/PVC);6,75;0,2;g
C09BB07;0148A;;AMIRAP 10 mg/10 mg tvrdé kapsuly;cps dur 30x10 mg/10 mg (blis.Al/OPA/Al/PVC);6,2;1;DF
C09BB07;0213A;;AMIRAP 10 mg/5 mg tvrdé kapsuly;cps dur 30x10 mg/5 mg (blis.Al/OPA/Al/PVC);4,67;1;DF
C09BB07;0208A;;AMIRAP 5 mg/10 mg tvrdé kapsuly;cps dur 30x5 mg/10 mg (blis.Al/OPA/Al/PVC);5,45;1;DF
C09BB07;0218A;;AMIRAP 5 mg/5 mg tvrdé kapsuly;cps dur 30x5 mg/5 mg (blis.Al/OPA/Al/PVC);3,77;1;DF
N05AL05;1118B;X;Amisulprid Generics 200 mg tablety;tbl 60x200 mg (blis.PVC/Al);27,68;400;mg
N06AA09;49447;X;AMITRIPTYLIN-SLOVAKOFARMA;tbl flm 50x25 mg (blis.Al/PVC);2,17;75;mg
C10BX03;8398;;Amlator 10 mg/10 mg filmom obalené tablety;tbl flm 30x10 mg/10 mg (blis. PA/Al/PVC/Al);5,22;1;DF
C10BX03;8399;;Amlator 10 mg/10 mg filmom obalené tablety;tbl flm 90x10 mg/10 mg (blis. PA/Al/PVC/Al);12,81;1;DF
C10BX03;8396;;Amlator 10 mg/5 mg filmom obalené tablety;tbl flm 30x10 mg/5 mg (blis.PA/Al/PVC/Al);4,8;1;DF
C10BX03;8397;;Amlator 10 mg/5 mg filmom obalené tablety;tbl flm 90x10 mg/5 mg (blis.PA/Al/PVC/Al);12,36;1;DF
C10BX03;8402;;Amlator 20 mg/10 mg filmom obalené tablety;tbl flm 30x20 mg/10 mg (blis.PA/Al/PVC/Al);8,38;1;DF
C10BX03;8404;;Amlator 20 mg/10 mg filmom obalené tablety;tbl flm 90x20 mg/10 mg (blis.PA/Al/PVC/Al);18,6;1;DF
C10BX03;8400;;Amlator 20 mg/5 mg filmom obalené tablety;tbl flm 30x20 mg/5 mg (blis. PA/Al/PVC/Al);8,04;1;DF
C10BX03;8401;;Amlator 20 mg/5 mg filmom obalené tablety;tbl flm 90x20 mg/5 mg (blis. PA/Al/PVC/Al);18,23;1;DF
C09BB04;8774;;Amlessa 4 mg/10 mg tablety;tbl 30x4 mg/10 mg (blis.OPA/Al/PVC/Al);5,15;1;DF
C09BB04;8777;;Amlessa 4 mg/10 mg tablety;tbl 90x4 mg/10 mg (blis.OPA/Al/PVC/Al);15,15;1;DF
C09BB04;8791;;Amlessa 4 mg/5 mg tablety;tbl 30x4 mg/5 mg (blis.OPA/Al/PVC/Al);4,07;1;DF
C09BB04;8798;;Amlessa 4 mg/5 mg tablety;tbl 90x4 mg/5 mg (blis.OPA/Al/PVC/Al);11,37;1;DF
C09BB04;8756;;Amlessa 8 mg/10 mg tablety;tbl 30x8 mg/10 mg (blisOPA/Al/PVC/Al);7,55;1;DF
C09BB04;8762;;Amlessa 8 mg/10 mg tablety;tbl 90x8 mg/10 mg (blisOPA/Al/PVC/Al);17,19;1;DF
C09BB04;8733;;Amlessa 8 mg/5 mg tablety;tbl 30x8 mg/5 mg (blis.OPA/Al/PVC/Al);6,14;1;DF
C09BB04;8737;;Amlessa 8 mg/5 mg tablety;tbl 90x8 mg/5 mg (blis.OPA/Al/PVC/Al);17,19;1;DF
C08CA01;34889;X;Amlodipin ratiopharm 10 mg;tbl 30x10 mg (blis.PVC/PVDC/Al);0,87;5;mg
C08CA01;34886;X;Amlodipin ratiopharm 5 mg;tbl 30x5 mg (blis.PVC/PVDC/Al);0,89;5;mg
C08CA01;11035;X;Amlodipin Vitabalans 10 mg tablety;tbl 100x10 mg (blis.PVC/PVDC/Al);4,34;5;mg
C08CA01;11033;X;Amlodipin Vitabalans 10 mg tablety;tbl 30x10 mg (blis.PVC/PVDC/Al);1,67;5;mg
C08CA01;11032;X;Amlodipin Vitabalans 5 mg tablety;tbl 100x5 mg (blis.PVC/PVDC/Al);3,01;5;mg
C08CA01;11030;X;Amlodipin Vitabalans 5 mg tablety;tbl 30x5 mg (blis.PVC/PVDC/Al);1;5;mg
C09DB01;9207B;;Amlodipín/Valsartan Sandoz 10 mg/160 mg;tbl flm 28x10 mg/160 mg (blis.PVC/PVDC);6,52;1;DF
C09DB01;9194B;;Amlodipín/Valsartan Sandoz 5 mg/160 mg;tbl flm 28x5 mg/160 mg (blis.PVC/PVDC);6,41;1;DF
C09DB01;9181B;;Amlodipín/Valsartan Sandoz 5 mg/80 mg;tbl flm 28x5 mg/80 mg (blis.PVC/PVDC);3,65;1;DF
C08CA01;37528;X;AMLOPIN S 10 mg tablety;tbl 30x10 mg (bli.PVC/Al);1,47;5;mg
C08CA01;37500;X;AMLOPIN S 5 mg tablety;tbl 30x5 mg (bli.PVC/Al);0,95;5;mg
J01CR02;530;;Amoksiklav 1000 mg granulát na perorálnu suspenziu;gru por 12x(875 mg+125 mg) (vre.papier/PE/Al/PE);7,53;1;g
J01CR02;74991;;Amoksiklav 156,25 mg/5 ml;plu por 1x100 ml (fľ.skl.hnedá);2,67;1;g
J01CR02;28856;;Amoksiklav 2x1000 mg;tbl flm 14x1000 mg (blis.Al/Al);6,19;1;g
J01CR02;33218;;Amoksiklav 2x457 mg/5 ml;plu por 1x35 ml (fľ.skl.jantárová);2,96;1;g
J01CR02;33219;;Amoksiklav 2x457 mg/5 ml;plu por 1x70 ml (fľ.skl.jantárová);4,04;1;g
J01CR02;96416;;Amoksiklav 312,5 mg/5 ml;plu por 1x100 ml (fľ.skl.hnedá);4,67;1;g
J01CR02;18614;;Amoksiklav 625 mg;tbl flm 21x625 mg (blis.Al/Al);5,41;1;g
N06AA04;8557;X;ANAFRANIL 25;tbl obd 30x25 mg;2,99;0,1;g
N06AA04;93828;X;ANAFRANIL SR 75;tbl plg 20x75 mg;4,8;0,1;g
L01XX35;7534C;X;Anagrelid AOP 0,5 mg tvrdé kapsuly;cps dur 100x0,5 mg (fľ.HDPE);56,1;2;mg
L01XX35;6804C;X;Anagrelide Glenmark 0,5 mg;cps dur 100x0,5 mg (fľ.HDPE);51,08;2;mg
L01XX35;6810C;X;Anagrelide Vipharm 0,5 mg;cps dur 100x0,5 mg (fľ.HDPE);51,08;2;mg
L01XX35;7127C;X;ANAMED 0,5 mg;cps dur 100x0,5 mg (fľ.HDPE);51,08;2;mg
L02BG03;52361;X;Anaprex 1 mg;tbl flm 28x1 mg (blis.PVC/Al);7,3;1;mg
G03XA01;67525;X;ANARGIL 100 mg;cps 100x100 mg (blis.PVC/Al);44,4;0,6;g
G03XA01;67528;X;ANARGIL 200 mg;cps 100x200 mg (blis.PVC/Al);77,9;0,6;g
L02BG03;4700C;X;Anastrozol Ebewe 1 mg;tbl flm 30x1 mg (blis.PVC/Al);7,82;1;mg
L02BG03;64318;X;Anastrozole Pharmacenter;tbl flm 90x1 mg (blis.PVC/PE/PVDC/Al);23,46;1;mg
L02BG03;39799;X;Anastrozol-ratiopharm 1 mg;tbl flm 28x1 mg (blis.PVC/PVDC/Al);7,3;1;mg
L02BG03;39805;X;Anastrozol-ratiopharm 1 mg;tbl flm 90x1 mg (blis.PVC/PVDC/Al);23,46;1;mg
A10BH01;0693E;X;Anau 100 mg filmom obalené tablety;tbl flm 28x100 mg (blis.PVC/PE/PVDC/Al-neperfor.);15,4;100;mg
A10BH01;0696E;X;Anau 100 mg filmom obalené tablety;tbl flm 98x100 mg (blis.PVC/PE/PVDC/Al-neperfor.);53,89;100;mg
G03HA01;3783;X;Androcur;tbl 50x50 mg (blis.PVC/Al);20,88;0,1;g
G03HA01;23342;;Androcur Depot;sol inj 3x3 ml/300  mg (amp.skl.hnedá);25,96;0,1;g
G04CB01;36943;X;Androfin 5 mg;tbl flm 100x5 mg (blis.Al/PVC);24,62;5;mg
C01EB15;20736;X;ANGITRIM;tbl flm 90x20 mg (blis.PVC/PVDC/Al);6,66;40;mg
B01AC06;23028;X;ANOPYRIN 100 mg;tbl 28x100 mg (blis.PVC//PVDC/Al);1,49;1;DF
B01AC06;23029;X;ANOPYRIN 100 mg;tbl 56x100 mg (blis.PVC/PVDC/Al);3,12;1;DF
B01AC06;23030;X;ANOPYRIN 100 mg;tbl 84x100 mg (blis.PVC/PVDC/Al);4,41;1;DF
R03AL03;0320B;;Anoro 55 mikrogramov/22 mikrogramov dávkovaný inhalačný prášok;plv ido 1 inhalátor (30 dávok) (blis.Al);43,24;1;DF
S01GX07;13435;;ANTALERG 0,05 %;int opo 1x10 ml (fľ.PE);8,28;1;ml
N05BA01;96610;;Apaurin;sol inj 10x2 ml/10 mg (amp.skl.);2,7;10;mg
J01XX08;0645D;X;APEL 600 mg filmom obalené tablety;tbl flm 10x600 mg (blis.PVC/PVDC/Al);145,02;1200;mg
A10AB06;41438;;Apidra 100 jednotiek/ml injekčný roztok v injekčnej liekovke;sol inj 1x10 ml (100 IU/ ml) (skl. liekov.);19,34;40;IU
A10AB06;36550;;Apidra SoloStar 100 jednotiek/ml injekčný roztok v naplnenom pere;sol inj 5x3 ml (100 IU/ ml) (napl. pero- sklo- SoloStar);27,63;40;IU
A04AD12;0492D;X;Aprepitant Stada 80 mg a Aprepitant Stada 125 mg;cps dur 1x125 mg+2x80 mg (blis.OPA/Al/PVC/Al);25,37;95;mg
V07AB;67802;;AQUA PRO INJECTIONE IMUNA;lif par 1x500 ml (fľ.skl.);1,49;100;ml
B03XA02;76253;;Aranesp;sol inj 1x0,3 ml/150 µg (napl.skl.striek.+kryt ihly - blistr.bal.);197,71;4,5;mcg
B03XA02;76238;;Aranesp;sol inj 1x0,3 ml/60 µg (napl.skl.striek.+kryt ihly - blistr.bal.);81,43;4,5;mcg
B03XA02;40697;;Aranesp;sol inj 1x0,4 ml/10 µg (napl.skl.striek.- blistr.bal.);16,4;4,5;mcg
B03XA02;76247;;Aranesp;sol inj 1x0,4 ml/80 µg (napl.skl.striek.+kryt ihly - blistr.bal.);107,31;4,5;mcg
B03XA02;76249;;Aranesp;sol inj 1x0,5 ml/100 µg (napl.skl.striek.+kryt ihly - blistr.bal.);133,54;4,5;mcg
B03XA02;76210;;Aranesp;sol inj 1x0,5 ml/20 µg (napl.skl.striek.+kryt ihly - blistr.bal.);29,29;4,5;mcg
B03XA02;76255;;Aranesp;sol inj 1x0,6 ml/300 µg (napl.skl.striek.+kryt ihly - blistr.bal.);390,56;4,5;mcg
B03XA02;76257;;Aranesp;sol inj 1x1 ml/500 µg (napl.skl.striek.+kryt ihly - blistr.bal.);646,86;4,5;mcg
N05AX12;6476B;X;Aricogan 10 mg tablety;tbl 30x10 mg (blis.OPA/Al/PVC/Al);6,35;15;mg
N05AX12;6489B;X;Aricogan 15 mg tablety;tbl 30x15 mg (blis.OPA/Al/PVC/Al);9,54;15;mg
N05AX12;5331C;X;Aripiprazol Mylan 10 mg orodispergovateľné tablety;tbl oro 28x10 mg (blis.PA/Al/PVC/Al/papier/PET-perfor.);15,87;15;mg
N05AX12;5332C;X;Aripiprazol Mylan 15 mg orodispergovateľné tablety;tbl oro 28x15 mg (blis.PA/Al/PVC/Al/papier/PET-perfor.);21,83;15;mg
N05AX12;5367B;X;Aripiprazol Sandoz 10 mg orodispergovateľné tablety;tbl oro 56x10 mg (blis.papier/PET/Al/PVC/Al/OPA);31,73;15;mg
N05AX12;5381B;X;Aripiprazol Sandoz 15 mg orodispergovateľné tablety;tbl oro 56x15 mg (blis.papier/PET/Al/PVC/Al/OPA);43,66;15;mg
N05AX12;6431B;X;Aripiprazol STADA 10 mg orodispergovateľné tablety;tbl oro 28x10 mg (blis.OPA/Al/PVC/Al);15,87;15;mg
N05AX12;6442B;X;Aripiprazol STADA 15 mg orodispergovateľné tablety;tbl oro 28x15 mg (blis.OPA/Al/PVC/Al);21,83;15;mg
N05AX12;6453B;X;Aripiprazol STADA 15 mg tablety;tbl 28x15 mg (blis.OPA/Al/PVC/Al);8,89;15;mg
N05AX12;4470B;X;Aripiprazol Teva 10 mg orodispergovateľné tablety;tbl oro 28x10 mg (blis.OPA/Al/PVC/Al);15,87;15;mg
N05AX12;4482B;X;Aripiprazol Teva 15 mg orodispergovateľné tablety;tbl oro 28x15 mg (blis.OPA/Al/PVC/Al);21,83;15;mg
N05AX12;1164D;X;Aripiprazole Neuraxpharm 10 mg tablety;tbl 28x10 mg (blis.OPA/Al/PVC/Al);5,95;15;mg
N05AX12;1172D;X;Aripiprazole Neuraxpharm 15 mg tablety;tbl 28x15 mg (blis.OPA/Al/PVC/Al);8,92;15;mg
N05AX12;5734B;X;Aripiprazole Sandoz 10 mg tablety;tbl 30x10 mg (blis.Al/Al);6,35;15;mg
N05AX12;5748B;X;Aripiprazole Sandoz 15 mg tablety;tbl 30x15 mg (blis.Al/Al);9,52;15;mg
N05AX12;4858B;X;Aripiprazole Zentiva 10 mg tablety;tbl 28x10 mg (blis.OPA/Al/PVC/Al);6,29;15;mg
N05AX12;4863B;X;Aripiprazole Zentiva 15 mg tablety;tbl 28x15 mg (blis.OPA/Al/PVC/Al);9,44;15;mg
N05AX12;3492B;X;Arisppa 10 mg tablety;tbl 14x10 mg (blis.OPA/Al/PVC/Al);5,16;15;mg
N05AX12;3497B;X;Arisppa 10 mg tablety;tbl 60x10 mg (blis.OPA/Al/PVC/Al);12,72;15;mg
N05AX12;3482B;X;Arisppa 15 mg tablety;tbl 14x15 mg (blis.OPA/Al/PVC/Al);5,25;15;mg
N05AX12;3487B;X;Arisppa 15 mg tablety;tbl 60x15 mg (blis.OPA/Al/PVC/Al);19,07;15;mg
B01AX05;41091;;Arixtra 2,5 mg/0,5 ml injekčný roztok, naplnená injekčná striekačka;sol inj 20x0,5 ml/2,5 mg (striek.inj.napl.skl. s autom.zabezp.syst.);91,7;1;DF
N06AB05;37099;X;ARKETIS 20 mg;tbl 30x20 mg (blis.PVC/Al);3,7;20;mg
N06AB05;37101;X;ARKETIS 20 mg;tbl 60x20 mg (blis.PVC/Al);7,18;20;mg
N06AB05;37109;X;ARKETIS 30 mg;tbl 30x30 mg (blis.PVC/Al);6,61;20;mg
N03AX18;6760C;X;Arkvimma 100 mg filmom obalené tablety;tbl flm 56x100 mg (blis.PVC/PVDC/Al);27,46;300;mg
N03AX18;6764C;X;Arkvimma 150 mg filmom obalené tablety;tbl flm 56x150 mg (blis.PVC/PVDC/Al);48,56;300;mg
N03AX18;6768C;X;Arkvimma 200 mg filmom obalené tablety;tbl flm 56x200 mg (blis.PVC/PVDC/Al);51,86;300;mg
N03AX18;6756C;X;Arkvimma 50 mg filmom obalené tablety;tbl flm 56x50 mg (blis.PVC/PVDC/Al);17,19;300;mg
L02BG06;78792;X;AROMASIN;tbl obd 100x25 mg (blis.PVC/PVDC/Al);67,99;25;mg
N04BC04;0462C;X;AROPILOS 2 mg tablety s predĺženým uvoľňovaním;tbl plg 84x2 mg (blis.Al/Al);20,05;6;mg
N04BC04;0476C;X;AROPILOS 4 mg tablety s predĺženým uvoľňovaním;tbl plg 84x4 mg (blis.Al/Al);40,1;6;mg
N04BC04;0490C;X;AROPILOS 8 mg tablety s predĺženým uvoľňovaním;tbl plg 84x8 mg (blis.Al/Al);80,19;6;mg
M01AB55;53239;;ARTHROTEC FORTE;tbl flm 30x75 mg/200 µg (blis.PA/Al/PVC);14,1;1;DF
S01EE01;22562;;Arulatan;int opo 1x2,5 ml/125 µg (fľ.LDPE);6,2;0,1;ml
S01EE01;22563;;Arulatan;int opo 3x2,5 ml/125 µg (fľ.LDPE);13,43;0,1;ml
G04BD08;5722D;X;Arusol 10 mg;tbl flm 100x10 mg (blis.PVC/PVDC/Al);36,15;5;mg
G04BD08;5712D;X;Arusol 5 mg;tbl flm 100x5 mg (blis.PVC/PVDC/Al);27;5;mg
N05AX12;9767C;X;Asduter 10 mg tablety;tbl 28x10 mg (fľ.HDPE s PP uzáv.);5,93;15;mg
N05AX12;2645D;X;Asduter 10 mg tablety;tbl 56x10 mg (fľ.HDPE s PP uzáv.);11,87;15;mg
N05AX12;9768C;X;Asduter 15 mg tablety;tbl 28x15 mg (fľ.HDPE s PP uzáv.);8,89;15;mg
N05AX12;2647D;X;Asduter 15 mg tablety;tbl 56x15 mg (fľ.HDPE s PP uzáv.);17,81;15;mg
A03FA07;0374C;X;ASKETON 50 mg filmom obalené tablety;tbl flm 100x50 mg (blis.PVC/PVDC/Al);27,72;150;mg
A03FA07;0373C;X;ASKETON 50 mg filmom obalené tablety;tbl flm 40x50 mg (blis.PVC/PVDC/Al);11,38;150;mg
R03BA07;58165;;ASMANEX 400 µg;plv inh 1x60 dávok (inh.plast.viacdávkový);26,19;0,4;mg
G04BD08;23026;X;Asolfena 10 mg;tbl flm 100x10 mg (blis.PVC/PVDC/Al);24,07;5;mg
G04BD08;23022;X;Asolfena 10 mg;tbl flm 30x10 mg (blis.PVC/PVDC/Al);13,11;5;mg
G04BD08;23019;X;Asolfena 5 mg;tbl flm 100x5 mg (blis.PVC/PVDC/Al);27;5;mg
G04BD08;23015;X;Asolfena 5 mg;tbl flm 30x5 mg (blis.PVC/PVDC/Al);8,99;5;mg
N06BA07;1689;X;ASPENDOS 100 mg;tbl 30x100 mg (blis.PVC/Al);61,83;300;mg
B01AC06;12459;X;ASPIRIN PROTECT 100;tbl ent 20x100 mg (blis.Al/PP priehľ.);1,29;1;DF
B01AC06;12460;X;ASPIRIN PROTECT 100;tbl ent 50x100 mg (blis.Al/PP priehľ.);3,25;1;DF
B01AF01;4464D;X;Assubex 10 mg;tbl flm 14x10 mg (blis.Al/PVC/PE/PVDC);16,7;1;DF
B01AF01;4474D;X;Assubex 15 mg;tbl flm 28x15 mg (blis.Al/PVC/PE/PVDC);28,89;1;DF
B01AF01;4475D;X;Assubex 15 mg;tbl flm 42x15 mg (blis.Al/PVC/PE/PVDC);43,34;1;DF
B01AF01;4476D;X;Assubex 15 mg;tbl flm 98x15 mg (blis.Al/PVC/PE/PVDC);101,13;1;DF
B01AF01;4483D;X;Assubex 20 mg;tbl flm 28x20 mg (blis.Al/PVC/PE/PVDC);28,89;1;DF
B01AF01;4484D;X;Assubex 20 mg;tbl flm 98x 20 mg (blis.Al/PVC/PE/PVDC);101,13;1;DF
L02BG06;22723;X;Astexana 25 mg;tbl flm 90x25 mg (blis. PVC/PVDC/Al);59,31;25;mg
R03AK06;9335C;;Asthmex 50 mikrogramov/100 mikrogramov dávkovaný inhalačný prášok;plv ido 1x60 dávok (blis.OPA/Al/PVC/Al/PET/papier+inhalátor);12,14;2;DF
R03AK06;9339C;;Asthmex 50 mikrogramov/250 mikrogramov dávkovaný inhalačný prášok;plv ido 1x60 dávok (blis.OPA/Al/PVC/Al/PET/papier+inhalátor);17,08;2;DF
R03AK06;9343C;;Asthmex 50 mikrogramov/500 mikrogramov dávkovaný inhalačný prášok;plv ido 1x60 dávok (blis.OPA/Al/PVC/Al/PET/papier+inhalátor);21,52;2;DF
R03DC03;82220;X;ASTMASAN 10 mg filmom obalené tablety;tbl flm 28x10 mg (blis.OPA/Al/PVC/Al);4,83;10;mg
C09CA06;53389;X;Atacand 16 mg;tbl 28x16 mg (blis.PVC/PVDC);7,48;8;mg
C09CA06;42384;X;Atacand 32 mg;tbl 28x32 mg (blis.PVC/PVDC);12,53;8;mg
C09CA06;53383;X;Atacand 8 mg;tbl 28x8 mg (blis.PVC/PVDC);4,77;8;mg
C09DA06;58066;;Atacand Plus 16/12,5 mg;tbl 28x16 mg/12,5 mg (blis.PVC/PVDC/Al);9,09;1;DF
C09DA06;89567;;Atacand Plus 32 mg/25 mg;tbl 28x32 mg/25 mg (blis.PVC/PVDC/Al);15,77;1;DF
N05BB01;85060;X;ATARAX;tbl flm 25x25 mg (blis. PVC/Al);1,89;75;mg
R03AK14;4967D;;Atectura Breezhaler 125 mikrogramov/127,5 mikrogramov inhalačný prášok v tvrdých kapsulách;plv icd 30x1 + 1 inh.x125 µg/127,5 µg (blis.PA/Al/PVC-Al -jednotk.d.);28,18;1;DF
R03AK14;4971D;;Atectura Breezhaler 125 mikrogramov/260 mikrogramov inhalačný prášok v tvrdých kapsulách;plv icd 30x1 + 1 inh.x125 µg/260 µg (blis.PA/Al/PVC-Al -jednotk.d.);29,34;1;DF
C07AB03;24950;X;Atenobene 100 mg;tbl flm 50x100 mg;3,62;75;mg
C07AB03;24949;X;Atenobene 50 mg;tbl flm 50x50 mg;2,75;75;mg
R03AC13;91631;;Atimos 12 µg inhalačný roztok v tlakovom obale;sol inh 1x100 dávok/1200 µg +aplikátor;25,4;24;µg
N06BA09;7983C;X;Atofab 10 mg tvrdé kapsuly;cps dur 30x10 mg (blis.PVC/PE/PCTFE/Al);45,39;1;DF
N06BA09;7995C;X;Atofab 18 mg tvrdé kapsuly;cps dur 30x18 mg (blis.PVC/PE/PCTFE/Al);45,51;1;DF
N06BA09;8007C;X;Atofab 25 mg tvrdé kapsuly;cps dur 30x25 mg (blis.PVC/PE/PCTFE/Al);44,46;1;DF
N06BA09;8019C;X;Atofab 40 mg tvrdé kapsuly;cps dur 30x40 mg (blis.PVC/PE/PCTFE/Al);45,78;1;DF
N06BA09;8031C;X;Atofab 60 mg tvrdé kapsuly;cps dur 30x60 mg (blis.PVC/PE/PCTFE/Al);45,85;1;DF
N06BA09;0820B;X;Atominex 10 mg;cps dur 56x10 mg (blis.PVC/Aclar/PVC/Al);84,73;1;DF
N06BA09;0828B;X;Atominex 18 mg;cps dur 56x18 mg (blis.PVC/Aclar/PVC/Al);84,95;1;DF
N06BA09;0836B;X;Atominex 25 mg;cps dur 56x25 mg (blis.PVC/Aclar/PVC/Al);82,97;1;DF
N06BA09;0844B;X;Atominex 40 mg;cps dur 56x40 mg (blis.PVC/Aclar/PVC/Al);85,46;1;DF
N06BA09;0852B;X;Atominex 60 mg;cps dur 56x60 mg (blis.PVC/Aclar/PVC/Al);85,59;1;DF
N06BA09;8581B;X;Atomoxetine Actavis 10 mg;cps dur 28x10 mg (blis.PVC/PVDC/PVC/Al);42,36;1;DF
N06BA09;8588B;X;Atomoxetine Actavis 18 mg;cps dur 28x18 mg (blis.PVC/PVDC/PVC/Al);42,5;1;DF
N06BA09;8595B;X;Atomoxetine Actavis 25 mg;cps dur 28x25 mg (blis.PVC/PVDC/PVC/Al);41,5;1;DF
N06BA09;8602B;X;Atomoxetine Actavis 40 mg;cps dur 28x40 mg (blis.PVC/PVDC/PVC/Al);42,72;1;DF
N06BA09;8608B;X;Atomoxetine Actavis 60 mg;cps dur 28x60 mg (blis.PVC/PVDC/PVC/Al);42,8;1;DF
N06BA09;2061C;X;Atomoxetine Sandoz 10 mg;cps dur 28x10 mg (blis.PVC/PE/PCTFE/Al);42,36;1;DF
N06BA09;2071C;X;Atomoxetine Sandoz 18 mg;cps dur 28x18 mg (blis.PVC/PE/PCTFE/Al);42,48;1;DF
N06BA09;2081C;X;Atomoxetine Sandoz 25 mg;cps dur 28x25 mg (blis.PVC/PE/PCTFE/Al);41,5;1;DF
N06BA09;2091C;X;Atomoxetine Sandoz 40 mg;cps dur 28x40 mg (blis.PVC/PE/PCTFE/Al);42,72;1;DF
N06BA09;2101C;X;Atomoxetine Sandoz 60 mg;cps dur 28x60 mg (blis.PVC/PE/PCTFE/Al);42,8;1;DF
C10AA05;4625;X;Atoridor 80 mg;tbl flm 30x80 mg (blis.Al/OPA/Al/PVC/Al);6,08;10;mg
C10AA05;4627;X;Atoridor 80 mg;tbl flm 90x80 mg (blis.Al/OPA/Al/PVC/Al);11,52;10;mg
C10AA05;40532;X;Atoris 10;tbl flm 30x10 mg;2,6;10;mg
C10AA05;40534;X;Atoris 10;tbl flm 90x10 mg;4,95;10;mg
C10AA05;40538;X;Atoris 20;tbl flm 30x20 mg;2,47;10;mg
C10AA05;40541;X;Atoris 20;tbl flm 90x20 mg;7,03;10;mg
C10AA05;4619;X;Atoris 30;tbl flm 30x30 mg (blis.Al/OPA/Al/PVC/Al);4,46;10;mg
C10AA05;4621;X;Atoris 30;tbl flm 90x30 mg (blis.Al/OPA/Al/PVC/Al);10,4;10;mg
C10AA05;92749;X;Atoris 40;tbl flm 30x40 mg;4,58;10;mg
C10AA05;92751;X;Atoris 40;tbl flm 90x40 mg;13,02;10;mg
C10AA05;4622;X;Atoris 60;tbl flm 30x60 mg (blis.Al/OPA/Al/PVC/Al);7,2;10;mg
C10AA05;38826;X;Atorvastatin Actavis 10 mg;tbl flm 100x10 mg (blis.Al/Al);5,28;10;mg
C10AA05;38821;X;Atorvastatin Actavis 10 mg;tbl flm 30x10 mg (blis.Al/Al);1,78;10;mg
C10AA05;38846;X;Atorvastatin Actavis 20 mg;tbl flm 100x20 mg (blis.Al/Al);5,5;10;mg
C10AA05;38841;X;Atorvastatin Actavis 20 mg;tbl flm 30x20 mg (blis.Al/Al);1,75;10;mg
C10AA05;38866;X;Atorvastatin Actavis 40 mg;tbl flm 100x40 mg (blis.Al/Al);12,8;10;mg
C10AA05;38861;X;Atorvastatin Actavis 40 mg;tbl flm 30x40 mg (blis.Al/Al);4,29;10;mg
